method,seed,k,knn_accuracy,svm_accuracy,dataset
Fisher,0,150,58.46153846153847,56.730769230769226,madelon
Fisher,0,200,58.269230769230774,53.84615384615385,madelon
Fisher,0,300,60.0,53.26923076923077,madelon
Fisher,0,500,53.07692307692308,54.03846153846153,madelon
Fisher,1,25,71.73076923076923,58.07692307692308,madelon
Fisher,1,50,61.92307692307693,56.34615384615385,madelon
Fisher,1,75,60.57692307692307,59.42307692307692,madelon
Fisher,1,100,57.30769230769231,58.07692307692308,madelon
Fisher,1,150,56.34615384615385,60.0,madelon
Fisher,1,200,59.03846153846154,57.88461538461539,madelon
Fisher,1,300,58.46153846153847,57.692307692307686,madelon
Fisher,1,500,52.88461538461539,60.192307692307686,madelon
Fisher,2,25,73.65384615384616,58.269230769230774,madelon
Fisher,2,50,65.76923076923077,55.38461538461539,madelon
Fisher,2,75,64.23076923076924,57.30769230769231,madelon
Fisher,2,100,64.03846153846153,57.30769230769231,madelon
Fisher,2,150,59.42307692307692,55.19230769230769,madelon
Fisher,2,200,56.92307692307692,57.88461538461539,madelon
Fisher,2,300,55.00000000000001,53.84615384615385,madelon
Fisher,2,500,49.80769230769231,51.73076923076923,madelon
Fisher,3,25,73.65384615384616,57.692307692307686,madelon
Fisher,3,50,62.69230769230769,55.57692307692308,madelon
Fisher,3,75,62.88461538461539,56.92307692307692,madelon
Fisher,3,100,57.49999999999999,54.230769230769226,madelon
Fisher,3,150,55.769230769230774,56.92307692307692,madelon
Fisher,3,200,55.57692307692308,58.269230769230774,madelon
Fisher,3,300,56.92307692307692,56.92307692307692,madelon
Fisher,3,500,59.03846153846154,56.92307692307692,madelon
Fisher,4,25,71.34615384615385,57.30769230769231,madelon
Fisher,4,50,64.61538461538461,58.65384615384615,madelon
Fisher,4,75,60.192307692307686,58.269230769230774,madelon
Fisher,4,100,60.96153846153847,56.730769230769226,madelon
Fisher,4,150,59.23076923076923,57.30769230769231,madelon
Fisher,4,200,60.192307692307686,57.30769230769231,madelon
Fisher,4,300,53.65384615384615,55.57692307692308,madelon
Fisher,4,500,51.92307692307693,57.692307692307686,madelon
Fisher,5,25,71.34615384615385,59.03846153846154,madelon
Fisher,5,50,63.653846153846146,54.230769230769226,madelon
Fisher,5,75,61.73076923076923,56.34615384615385,madelon
Fisher,5,100,58.269230769230774,52.11538461538462,madelon
Fisher,5,150,55.57692307692308,53.84615384615385,madelon
Fisher,5,200,54.230769230769226,51.34615384615384,madelon
Fisher,5,300,53.07692307692308,51.153846153846146,madelon
Fisher,5,500,52.88461538461539,52.69230769230769,madelon
Fisher,6,25,74.03846153846155,55.769230769230774,madelon
Fisher,6,50,61.92307692307693,56.730769230769226,madelon
Fisher,6,75,56.34615384615385,55.769230769230774,madelon
Fisher,6,100,60.96153846153847,55.19230769230769,madelon
Fisher,6,150,56.730769230769226,57.88461538461539,madelon
Fisher,6,200,57.49999999999999,56.15384615384615,madelon
Fisher,6,300,57.88461538461539,56.34615384615385,madelon
Fisher,6,500,56.34615384615385,57.11538461538461,madelon
Fisher,7,25,75.57692307692308,57.49999999999999,madelon
Fisher,7,50,65.0,56.15384615384615,madelon
Fisher,7,75,56.92307692307692,54.807692307692314,madelon
Fisher,7,100,57.49999999999999,55.769230769230774,madelon
Fisher,7,150,59.61538461538461,54.807692307692314,madelon
Fisher,7,200,57.30769230769231,56.53846153846154,madelon
Fisher,7,300,57.30769230769231,54.42307692307692,madelon
Fisher,7,500,50.57692307692307,54.807692307692314,madelon
Fisher,8,25,71.34615384615385,58.84615384615385,madelon
Fisher,8,50,65.0,57.88461538461539,madelon
Fisher,8,75,60.76923076923077,57.11538461538461,madelon
Fisher,8,100,59.03846153846154,57.88461538461539,madelon
Fisher,8,150,50.96153846153846,56.92307692307692,madelon
Fisher,8,200,57.692307692307686,55.57692307692308,madelon
Fisher,8,300,55.00000000000001,55.19230769230769,madelon
Fisher,8,500,54.807692307692314,53.46153846153846,madelon
Fisher,9,25,73.65384615384616,58.46153846153847,madelon
Fisher,9,50,66.53846153846153,56.53846153846154,madelon
Fisher,9,75,60.76923076923077,56.730769230769226,madelon
Fisher,9,100,59.80769230769231,55.57692307692308,madelon
Fisher,9,150,57.30769230769231,55.00000000000001,madelon
Fisher,9,200,55.00000000000001,55.38461538461539,madelon
Fisher,9,300,57.11538461538461,53.46153846153846,madelon
Fisher,9,500,56.730769230769226,54.61538461538461,madelon
Fisher,10,25,71.53846153846153,57.30769230769231,madelon
Fisher,10,50,63.84615384615384,59.61538461538461,madelon
Fisher,10,75,61.15384615384616,55.96153846153846,madelon
Fisher,10,100,56.53846153846154,57.11538461538461,madelon
Fisher,10,150,54.807692307692314,53.65384615384615,madelon
Fisher,10,200,56.15384615384615,55.19230769230769,madelon
Fisher,10,300,53.65384615384615,55.19230769230769,madelon
Fisher,10,500,53.84615384615385,53.46153846153846,madelon
Fisher,11,25,73.07692307692307,59.03846153846154,madelon
Fisher,11,50,63.84615384615384,59.03846153846154,madelon
Fisher,11,75,62.69230769230769,59.03846153846154,madelon
Fisher,11,100,57.692307692307686,58.269230769230774,madelon
Fisher,11,150,57.88461538461539,57.49999999999999,madelon
Fisher,11,200,53.46153846153846,55.19230769230769,madelon
Fisher,11,300,57.49999999999999,51.73076923076923,madelon
Fisher,11,500,48.84615384615385,53.26923076923077,madelon
Fisher,12,25,70.57692307692308,57.692307692307686,madelon
Fisher,12,50,65.0,56.15384615384615,madelon
Fisher,12,75,59.80769230769231,55.38461538461539,madelon
Fisher,12,100,58.84615384615385,55.19230769230769,madelon
Fisher,12,150,57.11538461538461,53.26923076923077,madelon
Fisher,12,200,56.34615384615385,54.42307692307692,madelon
Fisher,12,300,55.19230769230769,54.61538461538461,madelon
Fisher,12,500,54.03846153846153,54.42307692307692,madelon
Fisher,13,25,70.76923076923077,54.230769230769226,madelon
Fisher,13,50,61.15384615384616,52.69230769230769,madelon
Fisher,13,75,59.61538461538461,53.65384615384615,madelon
Fisher,13,100,55.769230769230774,51.73076923076923,madelon
Fisher,13,150,55.96153846153846,54.230769230769226,madelon
Fisher,13,200,58.65384615384615,55.38461538461539,madelon
Fisher,13,300,55.57692307692308,53.65384615384615,madelon
Fisher,13,500,56.34615384615385,53.65384615384615,madelon
Fisher,14,25,75.57692307692308,60.38461538461538,madelon
Fisher,14,50,60.76923076923077,59.03846153846154,madelon
Fisher,14,75,58.07692307692308,55.769230769230774,madelon
Fisher,14,100,56.730769230769226,54.61538461538461,madelon
Fisher,14,150,56.15384615384615,55.769230769230774,madelon
Fisher,14,200,54.807692307692314,52.88461538461539,madelon
Fisher,14,300,55.00000000000001,52.5,madelon
Fisher,14,500,52.88461538461539,53.46153846153846,madelon
Fisher,15,25,69.42307692307692,60.38461538461538,madelon
Fisher,15,50,61.346153846153854,57.88461538461539,madelon
Fisher,15,75,55.769230769230774,58.65384615384615,madelon
Fisher,15,100,58.269230769230774,58.65384615384615,madelon
Fisher,15,150,54.42307692307692,56.92307692307692,madelon
Fisher,15,200,53.46153846153846,55.38461538461539,madelon
Fisher,15,300,55.00000000000001,54.807692307692314,madelon
Fisher,15,500,58.65384615384615,54.03846153846153,madelon
Fisher,16,25,71.34615384615385,55.57692307692308,madelon
Fisher,16,50,62.69230769230769,54.03846153846153,madelon
Fisher,16,75,60.192307692307686,53.84615384615385,madelon
Fisher,16,100,59.03846153846154,52.69230769230769,madelon
Fisher,16,150,58.269230769230774,55.57692307692308,madelon
Fisher,16,200,55.00000000000001,53.84615384615385,madelon
Fisher,16,300,55.38461538461539,53.26923076923077,madelon
Fisher,16,500,52.5,52.69230769230769,madelon
Fisher,17,25,72.6923076923077,61.15384615384616,madelon
Fisher,17,50,65.96153846153847,61.346153846153854,madelon
Fisher,17,75,61.346153846153854,57.88461538461539,madelon
Fisher,17,100,57.30769230769231,58.07692307692308,madelon
Fisher,17,150,58.269230769230774,58.46153846153847,madelon
Fisher,17,200,56.34615384615385,59.23076923076923,madelon
Fisher,17,300,58.46153846153847,57.88461538461539,madelon
Fisher,17,500,55.19230769230769,58.65384615384615,madelon
